[main] DEBUG io.grpc.netty.shaded.io.netty.util.internal.logging.InternalLoggerFactory  - Using Log4J as the default logging framework
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=false bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=true bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=7 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/InitializeSuiteDataStore, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND DATA: streamId=7 padding=0 endStream=true length=5 bytes=0000000000
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=false bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=true bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=7 headers=GrpcHttp2OutboundHeaders[:status: 200, content-type: application/grpc, grpc-encoding: identity, grpc-accept-encoding: gzip] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND DATA: streamId=7 padding=0 endStream=false length=7 bytes=00000000020a00
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=7 headers=GrpcHttp2OutboundHeaders[grpc-status: 0] padding=0 endStream=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=7
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=false bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=true bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=9 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/StartExecution, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND DATA: streamId=9 padding=0 endStream=true length=5 bytes=0000000000
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=false bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=true bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=9 headers=GrpcHttp2OutboundHeaders[:status: 200, content-type: application/grpc, grpc-encoding: identity, grpc-accept-encoding: gzip] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND DATA: streamId=9 padding=0 endStream=false length=7 bytes=00000000020a00
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=9 headers=GrpcHttp2OutboundHeaders[grpc-status: 0] padding=0 endStream=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=7
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=false bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=true bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=11 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/InitializeSpecDataStore, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND DATA: streamId=11 padding=0 endStream=true length=5 bytes=0000000000
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=false bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=true bytes=1234
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=11 headers=GrpcHttp2OutboundHeaders[:status: 200, content-type: application/grpc, grpc-encoding: identity, grpc-accept-encoding: gzip] padding=0 endStream=false
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND DATA: streamId=11 padding=0 endStream=false length=7 bytes=00000000020a00
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND HEADERS: streamId=11 headers=GrpcHttp2OutboundHeaders[grpc-status: 0] padding=0 endStream=true
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND WINDOW_UPDATE: streamId=0 windowSizeIncrement=7
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND PING: ack=false bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] OUTBOUND PING: ack=true bytes=145258749040133895
[grpc-nio-worker-ELG-3-1] DEBUG io.grpc.netty.shaded.io.grpc.netty.NettyServerHandler  - [id: 0x4fca4ce3, L:/127.0.0.1:51522 - R:/127.0.0.1:51523] INBOUND HEADERS: streamId=13 headers=GrpcHttp2RequestHeaders[:path: /gauge.messages.Runner/StartSpecExecution, :authority: 127.0.0.1:51522, :method: POST, :scheme: http, te: trailers, content-type: application/grpc, user-agent: grpc-go/1.24.0] padding=0 endStream=false
